state,county,candidate,party,votes
Georgia,Clayton County,Jon Ossoff,DEM,92644
Georgia,Clayton County,David Perdue,REP,14725
Georgia,Clayton County,Shane Hazel,LIB,2467
Georgia,Clinch County,David Perdue,REP,2083
Georgia,Clinch County,Jon Ossoff,DEM,660
Georgia,Clinch County,Shane Hazel,LIB,54
Georgia,Cobb County,Jon Ossoff,DEM,210741
Georgia,Cobb County,David Perdue,REP,169372
Georgia,Cobb County,Shane Hazel,LIB,10253
Georgia,Coffee County,David Perdue,REP,10380
Georgia,Coffee County,Jon Ossoff,DEM,4237
Georgia,Coffee County,Shane Hazel,LIB,284
Georgia,Coffee County, Write-ins,WRI,14
Georgia,Colquitt County,David Perdue,REP,11643
Georgia,Colquitt County,Jon Ossoff,DEM,3989
Georgia,Colquitt County,Shane Hazel,LIB,256
Georgia,Columbia County,David Perdue,REP,50220
Georgia,Columbia County,Jon Ossoff,DEM,27759
Georgia,Columbia County,Shane Hazel,LIB,1928
Georgia,Cook County,David Perdue,REP,4864
Georgia,Cook County,Jon Ossoff,DEM,1963
Georgia,Cook County,Shane Hazel,LIB,145
Georgia,Coweta County,David Perdue,REP,51299
Georgia,Coweta County,Jon Ossoff,DEM,22915
Georgia,Coweta County,Shane Hazel,LIB,1908
Georgia,Crawford County,David Perdue,REP,4330
Georgia,Crawford County,Jon Ossoff,DEM,1561
Georgia,Crawford County,Shane Hazel,LIB,135
Georgia,Crisp County,David Perdue,REP,5048
Georgia,Crisp County,Jon Ossoff,DEM,2805
Georgia,Crisp County,Shane Hazel,LIB,105
Georgia,Crisp County, Write-ins,WRI,12
Georgia,Dade County,David Perdue,REP,5871
Georgia,Dade County,Jon Ossoff,DEM,1253
Georgia,Dade County,Shane Hazel,LIB,208
Georgia,Dawson County,David Perdue,REP,13214
Georgia,Dawson County,Jon Ossoff,DEM,2287
Georgia,Dawson County,Shane Hazel,LIB,417
Georgia,Dawson County, Write-ins,WRI,0
Georgia,Decatur County,David Perdue,REP,6696
Georgia,Decatur County,Jon Ossoff,DEM,4563
Georgia,Decatur County,Shane Hazel,LIB,190
Georgia,DeKalb County,Jon Ossoff,DEM,297310
Georgia,DeKalb County,David Perdue,REP,61662
Georgia,DeKalb County,Shane Hazel,LIB,7250
Georgia,Dodge County,David Perdue,REP,5788
Georgia,Dodge County,Jon Ossoff,DEM,2020
Georgia,Dodge County,Shane Hazel,LIB,138
Georgia,Dodge County, Write-ins,WRI,4
Georgia,Dooly County,David Perdue,REP,2158
Georgia,Dooly County,Jon Ossoff,DEM,1826
Georgia,Dooly County,Shane Hazel,LIB,75
Georgia,Dougherty County,Jon Ossoff,DEM,23789
Georgia,Dougherty County,David Perdue,REP,10575
Georgia,Dougherty County,Shane Hazel,LIB,500
Georgia,Douglas County,Jon Ossoff,DEM,41600
Georgia,Douglas County,David Perdue,REP,24868
Georgia,Douglas County,Shane Hazel,LIB,1630
Georgia,Early County,David Perdue,REP,2793
Georgia,Early County,Jon Ossoff,DEM,2232
Georgia,Early County,Shane Hazel,LIB,77
Georgia,Early County, Write-ins,WRI,0
Georgia,Echols County,David Perdue,REP,1232
Georgia,Echols County,Jon Ossoff,DEM,162
Georgia,Echols County,Shane Hazel,LIB,24
Georgia,Effingham County,David Perdue,REP,22815
Georgia,Effingham County,Jon Ossoff,DEM,7616
Georgia,Effingham County,Shane Hazel,LIB,826
Georgia,Effingham County, Write-ins,WRI,32
Georgia,Elbert County,David Perdue,REP,6225
Georgia,Elbert County,Jon Ossoff,DEM,2717
Georgia,Elbert County,Shane Hazel,LIB,133
Georgia,Emanuel County,David Perdue,REP,6513
Georgia,Emanuel County,Jon Ossoff,DEM,2720
Georgia,Emanuel County,Shane Hazel,LIB,136
Georgia,Evans County,David Perdue,REP,2876
Georgia,Evans County,Jon Ossoff,DEM,1251
Georgia,Evans County,Shane Hazel,LIB,64
